Year,Province,Sector,Use of Funds,Current dollars,Current dollars per capita
1995,Saskatchewan,Public,Hospitals,"638,385,655",629
1996,Saskatchewan,Public,Hospitals,"650,596,837",639
1997,Saskatchewan,Public,Hospitals,"664,423,594",653
1998,Saskatchewan,Public,Hospitals,"702,447,396",690
1999,Saskatchewan,Public,Hospitals,"770,069,034",759
2000,Saskatchewan,Public,Hospitals,"826,173,180",820
2001,Saskatchewan,Public,Hospitals,"890,703,637",890
2002,Saskatchewan,Public,Hospitals,"956,468,566",960
2003,Saskatchewan,Public,Hospitals,"986,497,066",990
2004,Saskatchewan,Public,Hospitals,"1,051,414,464","1,054"
2005,Saskatchewan,Public,Hospitals,"1,144,245,736","1,152"
2006,Saskatchewan,Public,Hospitals,"1,242,732,424","1,252"
2007,Saskatchewan,Public,Hospitals,"1,326,818,874","1,324"
2008,Saskatchewan,Public,Hospitals,"1,437,552,525","1,413"
2009,Saskatchewan,Public,Hospitals,"1,547,811,819","1,496"
2010,Saskatchewan,Public,Hospitals,"1,704,641,249","1,621"
2011,Saskatchewan,Public,Hospitals,"1,771,135,646","1,661"
2012,Saskatchewan,Public,Hospitals,"1,850,433,400","1,707"
2013,Saskatchewan,Public,Hospitals,"1,912,933,204","1,739"
2014,Saskatchewan,Public,Hospitals,"1,961,823,769","1,763"
2015,Saskatchewan,Public,Hospitals,"1,989,295,888","1,775"
2016,Saskatchewan,Public,Hospitals,"2,033,667,215","1,790"
2017,Saskatchewan,Public,Hospitals,"2,074,075,717","1,802"
2018,Saskatchewan,Public,Hospitals,"2,099,144,336","1,806"
2019,Saskatchewan,Public,Hospitals,"2,154,339,415","1,842"
1975,Saskatchewan,Public,Other Institutions,"20,226,750",22
1976,Saskatchewan,Public,Other Institutions,"22,379,750",24
1977,Saskatchewan,Public,Other Institutions,"24,351,500",26
1978,Saskatchewan,Public,Other Institutions,"28,497,000",30
1979,Saskatchewan,Public,Other Institutions,"43,213,314",45
1980,Saskatchewan,Public,Other Institutions,"54,161,771",56
1981,Saskatchewan,Public,Other Institutions,"88,120,250",90
1982,Saskatchewan,Public,Other Institutions,"134,580,500",136
1983,Saskatchewan,Public,Other Institutions,"163,564,000",163
1984,Saskatchewan,Public,Other Institutions,"169,652,750",167
1985,Saskatchewan,Public,Other Institutions,"178,514,750",174
1986,Saskatchewan,Public,Other Institutions,"198,306,906",193
1987,Saskatchewan,Public,Other Institutions,"213,894,671",207
1988,Saskatchewan,Public,Other Institutions,"220,415,991",214
1989,Saskatchewan,Public,Other Institutions,"235,886,041",231
1990,Saskatchewan,Public,Other Institutions,"248,605,342",247
1991,Saskatchewan,Public,Other Institutions,"258,470,365",258
1992,Saskatchewan,Public,Other Institutions,"262,778,766",262
1993,Saskatchewan,Public,Other Institutions,"260,765,325",259
1994,Saskatchewan,Public,Other Institutions,"274,513,260",272
1995,Saskatchewan,Public,Other Institutions,"274,315,606",270
1996,Saskatchewan,Public,Other Institutions,"275,409,974",270
1997,Saskatchewan,Public,Other Institutions,"280,740,441",276
1998,Saskatchewan,Public,Other Institutions,"285,276,426",280
1999,Saskatchewan,Public,Other Institutions,"304,318,511",300
2000,Saskatchewan,Public,Other Institutions,"338,301,519",336
2001,Saskatchewan,Public,Other Institutions,"350,097,746",350
2002,Saskatchewan,Public,Other Institutions,"366,460,571",368
2003,Saskatchewan,Public,Other Institutions,"398,736,427",400
2004,Saskatchewan,Public,Other Institutions,"421,355,226",423
2005,Saskatchewan,Public,Other Institutions,"452,005,551",455
2006,Saskatchewan,Public,Other Institutions,"488,346,120",492
2007,Saskatchewan,Public,Other Institutions,"524,612,197",524
2008,Saskatchewan,Public,Other Institutions,"554,314,720",545
2009,Saskatchewan,Public,Other Institutions,"582,850,345",563
2010,Saskatchewan,Public,Other Institutions,"639,068,242",608
2011,Saskatchewan,Public,Other Institutions,"637,476,955",598
2012,Saskatchewan,Public,Other Institutions,"671,326,527",619
2013,Saskatchewan,Public,Other Institutions,"732,657,538",666
2014,Saskatchewan,Public,Other Institutions,"746,555,316",671
2015,Saskatchewan,Public,Other Institutions,"759,990,838",678
2016,Saskatchewan,Public,Other Institutions,"782,674,964",689
2017,Saskatchewan,Public,Other Institutions,"798,151,568",694
2018,Saskatchewan,Public,Other Institutions,"804,317,508",692
2019,Saskatchewan,Public,Other Institutions,"820,721,140",702
1975,Saskatchewan,Public,Physicians,"53,534,250",58
1976,Saskatchewan,Public,Physicians,"61,566,500",66
1977,Saskatchewan,Public,Physicians,"68,704,500",73
1978,Saskatchewan,Public,Physicians,"74,841,750",79
1979,Saskatchewan,Public,Physicians,"82,457,500",86
1980,Saskatchewan,Public,Physicians,"96,272,750",100
1981,Saskatchewan,Public,Physicians,"114,188,750",117
1982,Saskatchewan,Public,Physicians,"138,454,750",140
1983,Saskatchewan,Public,Physicians,"153,755,000",154
1984,Saskatchewan,Public,Physicians,"166,602,750",164
1985,Saskatchewan,Public,Physicians,"179,234,400",175
1986,Saskatchewan,Public,Physicians,"196,969,236",191
1987,Saskatchewan,Public,Physicians,"206,486,057",200
1988,Saskatchewan,Public,Physicians,"214,801,303",209
1989,Saskatchewan,Public,Physicians,"238,010,549",233
1990,Saskatchewan,Public,Physicians,"254,406,116",252
1991,Saskatchewan,Public,Physicians,"267,753,069",267
1992,Saskatchewan,Public,Physicians,"270,584,316",270
1993,Saskatchewan,Public,Physicians,"257,302,783",256
1994,Saskatchewan,Public,Physicians,"289,666,521",287
1995,Saskatchewan,Public,Physicians,"301,578,348",297
1996,Saskatchewan,Public,Physicians,"304,622,395",299
1997,Saskatchewan,Public,Physicians,"327,260,734",322
1998,Saskatchewan,Public,Physicians,"341,229,579",335
1999,Saskatchewan,Public,Physicians,"361,707,275",357
2000,Saskatchewan,Public,Physicians,"400,384,474",397
2001,Saskatchewan,Public,Physicians,"435,047,261",435
2002,Saskatchewan,Public,Physicians,"468,968,915",470
2003,Saskatchewan,Public,Physicians,"493,758,019",496
2004,Saskatchewan,Public,Physicians,"537,481,487",539
2005,Saskatchewan,Public,Physicians,"588,969,658",593
2006,Saskatchewan,Public,Physicians,"629,630,512",635
2007,Saskatchewan,Public,Physicians,"651,629,327",650
2008,Saskatchewan,Public,Physicians,"708,291,944",696
2009,Saskatchewan,Public,Physicians,"755,736,562",730
2010,Saskatchewan,Public,Physicians,"823,286,467",783
2011,Saskatchewan,Public,Physicians,"894,812,621",839
2012,Saskatchewan,Public,Physicians,"918,017,244",847
2013,Saskatchewan,Public,Physicians,"988,975,609",899
2014,Saskatchewan,Public,Physicians,"1,027,863,795",924
2015,Saskatchewan,Public,Physicians,"1,076,876,727",961
2016,Saskatchewan,Public,Physicians,"1,130,603,232",995
2017,Saskatchewan,Public,Physicians,"1,157,888,251","1,006"
2018,Saskatchewan,Public,Physicians,"1,167,903,597","1,005"
2019,Saskatchewan,Public,Physicians,"1,182,479,451","1,011"
1975,Saskatchewan,Public,Other Professionals,"8,356,750",9
1976,Saskatchewan,Public,Other Professionals,"10,379,000",11
1977,Saskatchewan,Public,Other Professionals,"12,658,250",13
1978,Saskatchewan,Public,Other Professionals,"14,870,250",16
1979,Saskatchewan,Public,Other Professionals,"17,342,500",18
1980,Saskatchewan,Public,Other Professionals,"20,953,500",22
1981,Saskatchewan,Public,Other Professionals,"25,997,250",27
1982,Saskatchewan,Public,Other Professionals,"31,364,750",32
1983,Saskatchewan,Public,Other Professionals,"35,359,250",35
1984,Saskatchewan,Public,Other Professionals,"34,869,750",34
1985,Saskatchewan,Public,Other Professionals,"37,196,389",36
1986,Saskatchewan,Public,Other Professionals,"38,626,680",38
1987,Saskatchewan,Public,Other Professionals,"39,187,356",38
1988,Saskatchewan,Public,Other Professionals,"44,059,532",43
1989,Saskatchewan,Public,Other Professionals,"48,360,302",47
1990,Saskatchewan,Public,Other Professionals,"52,918,603",53
1991,Saskatchewan,Public,Other Professionals,"58,252,896",58
1992,Saskatchewan,Public,Other Professionals,"55,323,828",55
1993,Saskatchewan,Public,Other Professionals,"47,926,370",48
1994,Saskatchewan,Public,Other Professionals,"44,999,120",45
1995,Saskatchewan,Public,Other Professionals,"45,927,951",45
1996,Saskatchewan,Public,Other Professionals,"46,869,303",46
1997,Saskatchewan,Public,Other Professionals,"46,744,809",46
1998,Saskatchewan,Public,Other Professionals,"52,254,578",51
1999,Saskatchewan,Public,Other Professionals,"57,857,119",57
2000,Saskatchewan,Public,Other Professionals,"64,637,962",64
2001,Saskatchewan,Public,Other Professionals,"68,020,349",68
2002,Saskatchewan,Public,Other Professionals,"71,254,959",71
2003,Saskatchewan,Public,Other Professionals,"71,469,351",72
2004,Saskatchewan,Public,Other Professionals,"74,102,558",74
2005,Saskatchewan,Public,Other Professionals,"72,891,482",73
2006,Saskatchewan,Public,Other Professionals,"78,857,237",79
2007,Saskatchewan,Public,Other Professionals,"84,053,414",84
2008,Saskatchewan,Public,Other Professionals,"89,507,796",88
2009,Saskatchewan,Public,Other Professionals,"98,470,633",95
2010,Saskatchewan,Public,Other Professionals,"97,176,087",92
2011,Saskatchewan,Public,Other Professionals,"100,938,487",95
2012,Saskatchewan,Public,Other Professionals,"99,201,934",92
2013,Saskatchewan,Public,Other Professionals,"101,252,926",92
2014,Saskatchewan,Public,Other Professionals,"113,394,343",102
2015,Saskatchewan,Public,Other Professionals,"122,265,368",109
2016,Saskatchewan,Public,Other Professionals,"123,713,582",109
2017,Saskatchewan,Public,Other Professionals,"128,127,175",111
2018,Saskatchewan,Public,Other Professionals,"133,784,799",115
2019,Saskatchewan,Public,Other Professionals,"141,049,132",121
1975,Saskatchewan,Public,Drugs,"10,718,250",12
1976,Saskatchewan,Public,Drugs,"17,761,500",19
1977,Saskatchewan,Public,Drugs,"20,614,500",22
1978,Saskatchewan,Public,Drugs,"23,500,250",25
1979,Saskatchewan,Public,Drugs,"26,669,000",28
1980,Saskatchewan,Public,Drugs,"31,211,500",32
1981,Saskatchewan,Public,Drugs,"36,246,500",37
1982,Saskatchewan,Public,Drugs,"45,230,250",46
1983,Saskatchewan,Public,Drugs,"54,241,000",54
1984,Saskatchewan,Public,Drugs,"62,920,250",62
1985,Saskatchewan,Public,Drugs,"73,989,322",72
1986,Saskatchewan,Public,Drugs,"88,302,226",86
1987,Saskatchewan,Public,Drugs,"75,720,753",73
1988,Saskatchewan,Public,Drugs,"73,068,702",71
1989,Saskatchewan,Public,Drugs,"87,224,004",86
1990,Saskatchewan,Public,Drugs,"103,463,758",103
1991,Saskatchewan,Public,Drugs,"110,587,945",110
1992,Saskatchewan,Public,Drugs,"104,292,863",104
1993,Saskatchewan,Public,Drugs,"80,614,304",80
1994,Saskatchewan,Public,Drugs,"81,623,746",81
1995,Saskatchewan,Public,Drugs,"92,229,401",91
1996,Saskatchewan,Public,Drugs,"96,190,395",94
1997,Saskatchewan,Public,Drugs,"101,291,922",100
1998,Saskatchewan,Public,Drugs,"113,561,336",112
1999,Saskatchewan,Public,Drugs,"129,021,626",127
2000,Saskatchewan,Public,Drugs,"143,751,652",143
2001,Saskatchewan,Public,Drugs,"172,946,123",173
2002,Saskatchewan,Public,Drugs,"200,490,561",201
2003,Saskatchewan,Public,Drugs,"225,871,049",227
2004,Saskatchewan,Public,Drugs,"245,685,579",246
2005,Saskatchewan,Public,Drugs,"268,123,796",270
2006,Saskatchewan,Public,Drugs,"289,989,979",292
2007,Saskatchewan,Public,Drugs,"340,890,133",340
2008,Saskatchewan,Public,Drugs,"367,457,390",361
2009,Saskatchewan,Public,Drugs,"385,769,084",373
2010,Saskatchewan,Public,Drugs,"403,186,044",383
2011,Saskatchewan,Public,Drugs,"404,768,381",380
2012,Saskatchewan,Public,Drugs,"396,011,058",365
2013,Saskatchewan,Public,Drugs,"405,534,183",369
2014,Saskatchewan,Public,Drugs,"413,064,469",371
2015,Saskatchewan,Public,Drugs,"422,837,770",377
2016,Saskatchewan,Public,Drugs,"416,725,482",367
2017,Saskatchewan,Public,Drugs,"421,019,979",366
2018,Saskatchewan,Public,Drugs,"432,993,990",373
2019,Saskatchewan,Public,Drugs,"444,541,497",380
1975,Saskatchewan,Public,Capital,"11,746,750",13
1976,Saskatchewan,Public,Capital,"11,168,750",12
1977,Saskatchewan,Public,Capital,"14,164,500",15
1978,Saskatchewan,Public,Capital,"12,528,250",13
1979,Saskatchewan,Public,Capital,"18,783,123",20
1980,Saskatchewan,Public,Capital,"24,382,674",25
1981,Saskatchewan,Public,Capital,"25,218,407",26
1982,Saskatchewan,Public,Capital,"28,562,533",29
1983,Saskatchewan,Public,Capital,"27,822,755",28
1984,Saskatchewan,Public,Capital,"32,173,777",32
1985,Saskatchewan,Public,Capital,"42,720,176",42
1986,Saskatchewan,Public,Capital,"70,728,133",69
1987,Saskatchewan,Public,Capital,"81,216,060",79
1988,Saskatchewan,Public,Capital,"119,380,273",116
1989,Saskatchewan,Public,Capital,"154,018,890",151
1990,Saskatchewan,Public,Capital,"176,391,121",175
1991,Saskatchewan,Public,Capital,"131,694,637",131
1992,Saskatchewan,Public,Capital,"120,265,187",120
1993,Saskatchewan,Public,Capital,"78,664,477",78
1994,Saskatchewan,Public,Capital,"97,394,204",96
1995,Saskatchewan,Public,Capital,"84,433,285",83
1996,Saskatchewan,Public,Capital,"85,504,918",84
1997,Saskatchewan,Public,Capital,"128,581,183",126
1998,Saskatchewan,Public,Capital,"141,917,532",139
1999,Saskatchewan,Public,Capital,"160,149,499",158
2000,Saskatchewan,Public,Capital,"109,555,267",109
2001,Saskatchewan,Public,Capital,"132,169,217",132
2002,Saskatchewan,Public,Capital,"99,381,398",100
2003,Saskatchewan,Public,Capital,"88,335,868",89
2004,Saskatchewan,Public,Capital,"79,549,230",80
2005,Saskatchewan,Public,Capital,"97,338,010",98
2006,Saskatchewan,Public,Capital,"114,252,046",115
2007,Saskatchewan,Public,Capital,"111,575,225",111
2008,Saskatchewan,Public,Capital,"197,398,381",194
2009,Saskatchewan,Public,Capital,"181,693,932",176
2010,Saskatchewan,Public,Capital,"146,071,295",139
2011,Saskatchewan,Public,Capital,"207,865,354",195
2012,Saskatchewan,Public,Capital,"193,986,601",179
2013,Saskatchewan,Public,Capital,"224,061,692",204
2014,Saskatchewan,Public,Capital,"207,262,246",186
2015,Saskatchewan,Public,Capital,"279,204,862",249
2016,Saskatchewan,Public,Capital,"339,690,796",299
2017,Saskatchewan,Public,Capital,"316,494,619",275
2018,Saskatchewan,Public,Capital,"155,882,886",134
2019,Saskatchewan,Public,Capital,"99,242,611",85
1975,Saskatchewan,Public,Public Health,"23,450,000",26
1976,Saskatchewan,Public,Public Health,"26,309,778",28
1977,Saskatchewan,Public,Public Health,"29,618,513",31
1978,Saskatchewan,Public,Public Health,"33,583,209",35
1979,Saskatchewan,Public,Public Health,"36,659,386",38
1980,Saskatchewan,Public,Public Health,"44,652,615",46
1981,Saskatchewan,Public,Public Health,"50,407,658",52
1982,Saskatchewan,Public,Public Health,"58,170,634",59
1983,Saskatchewan,Public,Public Health,"62,496,026",62
1984,Saskatchewan,Public,Public Health,"69,744,902",69
1985,Saskatchewan,Public,Public Health,"73,636,798",72
1986,Saskatchewan,Public,Public Health,"81,074,848",79
1987,Saskatchewan,Public,Public Health,"86,339,574",84
1988,Saskatchewan,Public,Public Health,"98,164,430",95
1989,Saskatchewan,Public,Public Health,"103,666,264",102
1990,Saskatchewan,Public,Public Health,"112,319,661",111
1991,Saskatchewan,Public,Public Health,"116,942,755",117
1992,Saskatchewan,Public,Public Health,"120,119,668",120
1993,Saskatchewan,Public,Public Health,"125,980,712",125
1994,Saskatchewan,Public,Public Health,"130,008,553",129
1995,Saskatchewan,Public,Public Health,"165,899,526",164
1996,Saskatchewan,Public,Public Health,"175,248,998",172
1997,Saskatchewan,Public,Public Health,"178,206,983",175
1998,Saskatchewan,Public,Public Health,"208,852,700",205
1999,Saskatchewan,Public,Public Health,"204,287,909",201
2000,Saskatchewan,Public,Public Health,"211,736,737",210
2001,Saskatchewan,Public,Public Health,"224,539,275",224
2002,Saskatchewan,Public,Public Health,"235,243,135",236
2003,Saskatchewan,Public,Public Health,"283,604,378",285
2004,Saskatchewan,Public,Public Health,"318,836,081",320
2005,Saskatchewan,Public,Public Health,"370,092,452",373
2006,Saskatchewan,Public,Public Health,"378,635,509",382
2007,Saskatchewan,Public,Public Health,"445,939,066",445
2008,Saskatchewan,Public,Public Health,"463,366,431",455
2009,Saskatchewan,Public,Public Health,"496,971,175",480
2010,Saskatchewan,Public,Public Health,"505,108,179",480
2011,Saskatchewan,Public,Public Health,"578,771,862",543
2012,Saskatchewan,Public,Public Health,"572,186,738",528
2013,Saskatchewan,Public,Public Health,"577,837,792",525
2014,Saskatchewan,Public,Public Health,"602,874,410",542
2015,Saskatchewan,Public,Public Health,"620,372,219",553
2016,Saskatchewan,Public,Public Health,"635,873,291",560
2017,Saskatchewan,Public,Public Health,"658,742,982",572
2018,Saskatchewan,Public,Public Health,"671,630,227",578
2019,Saskatchewan,Public,Public Health,"695,372,190",595
1975,Saskatchewan,Public,Administration,"12,032,750",13
1976,Saskatchewan,Public,Administration,"13,224,472",14
1977,Saskatchewan,Public,Administration,"13,966,237",15
1978,Saskatchewan,Public,Administration,"15,500,791",16
1979,Saskatchewan,Public,Administration,"16,749,114",17
1980,Saskatchewan,Public,Administration,"20,465,135",21
1981,Saskatchewan,Public,Administration,"23,805,342",24
1982,Saskatchewan,Public,Administration,"28,581,116",29
1983,Saskatchewan,Public,Administration,"31,881,724",32
1984,Saskatchewan,Public,Administration,"35,716,348",35
1985,Saskatchewan,Public,Administration,"38,028,702",37
1986,Saskatchewan,Public,Administration,"40,376,542",39
1987,Saskatchewan,Public,Administration,"42,873,689",42
1988,Saskatchewan,Public,Administration,"38,922,208",38
1989,Saskatchewan,Public,Administration,"43,969,341",43
1990,Saskatchewan,Public,Administration,"51,362,377",51
1991,Saskatchewan,Public,Administration,"52,508,672",52
1992,Saskatchewan,Public,Administration,"54,361,485",54
1993,Saskatchewan,Public,Administration,"59,284,361",59
1994,Saskatchewan,Public,Administration,"66,167,973",66
1995,Saskatchewan,Public,Administration,"71,571,277",71
1996,Saskatchewan,Public,Administration,"71,952,893",71
1997,Saskatchewan,Public,Administration,"70,864,360",70
1998,Saskatchewan,Public,Administration,"74,784,172",74
1999,Saskatchewan,Public,Administration,"80,468,282",79
2000,Saskatchewan,Public,Administration,"91,201,850",91
2001,Saskatchewan,Public,Administration,"95,603,857",96
2002,Saskatchewan,Public,Administration,"97,913,801",98
2003,Saskatchewan,Public,Administration,"100,717,695",101
2004,Saskatchewan,Public,Administration,"109,494,887",110
2005,Saskatchewan,Public,Administration,"103,986,387",105
2006,Saskatchewan,Public,Administration,"106,388,616",107
2007,Saskatchewan,Public,Administration,"113,689,868",113
2008,Saskatchewan,Public,Administration,"93,477,191",92
2009,Saskatchewan,Public,Administration,"89,115,736",86
2010,Saskatchewan,Public,Administration,"84,936,201",81
2011,Saskatchewan,Public,Administration,"103,600,289",97
2012,Saskatchewan,Public,Administration,"117,183,238",108
2013,Saskatchewan,Public,Administration,"115,827,862",105
2014,Saskatchewan,Public,Administration,"112,011,767",101
2015,Saskatchewan,Public,Administration,"106,853,342",95
2016,Saskatchewan,Public,Administration,"110,564,223",97
2017,Saskatchewan,Public,Administration,"113,877,784",99
2018,Saskatchewan,Public,Administration,"125,707,946",108
2019,Saskatchewan,Public,Administration,"133,236,509",114
1975,Saskatchewan,Public,Other Health Spending,"5,995,500",7
1976,Saskatchewan,Public,Other Health Spending,"6,644,250",7
1977,Saskatchewan,Public,Other Health Spending,"7,849,750",8
1978,Saskatchewan,Public,Other Health Spending,"9,601,500",10
1979,Saskatchewan,Public,Other Health Spending,"15,211,206",16
1980,Saskatchewan,Public,Other Health Spending,"18,764,652",19
1981,Saskatchewan,Public,Other Health Spending,"26,078,000",27
1982,Saskatchewan,Public,Other Health Spending,"30,438,000",31
1983,Saskatchewan,Public,Other Health Spending,"35,936,750",36
1984,Saskatchewan,Public,Other Health Spending,"40,918,250",40
1985,Saskatchewan,Public,Other Health Spending,"47,655,919",46
1986,Saskatchewan,Public,Other Health Spending,"55,838,308",54
1987,Saskatchewan,Public,Other Health Spending,"58,832,872",57
1988,Saskatchewan,Public,Other Health Spending,"66,142,465",64
1989,Saskatchewan,Public,Other Health Spending,"73,381,162",72
1990,Saskatchewan,Public,Other Health Spending,"85,051,897",84
1991,Saskatchewan,Public,Other Health Spending,"96,450,611",96
1992,Saskatchewan,Public,Other Health Spending,"103,648,979",103
1993,Saskatchewan,Public,Other Health Spending,"114,928,576",114
1994,Saskatchewan,Public,Other Health Spending,"132,484,195",131
1995,Saskatchewan,Public,Other Health Spending,"146,440,372",144
1996,Saskatchewan,Public,Other Health Spending,"155,896,295",153
1997,Saskatchewan,Public,Other Health Spending,"177,958,538",175
1998,Saskatchewan,Public,Other Health Spending,"183,194,776",180
1999,Saskatchewan,Public,Other Health Spending,"187,074,693",184
2000,Saskatchewan,Public,Other Health Spending,"201,659,506",200
2001,Saskatchewan,Public,Other Health Spending,"226,146,334",226
2002,Saskatchewan,Public,Other Health Spending,"239,956,676",241
2003,Saskatchewan,Public,Other Health Spending,"269,684,011",271
2004,Saskatchewan,Public,Other Health Spending,"282,708,829",283
2005,Saskatchewan,Public,Other Health Spending,"289,489,268",291
2006,Saskatchewan,Public,Other Health Spending,"294,613,065",297
2007,Saskatchewan,Public,Other Health Spending,"308,748,930",308
2008,Saskatchewan,Public,Other Health Spending,"330,150,471",325
2009,Saskatchewan,Public,Other Health Spending,"354,536,385",343
2010,Saskatchewan,Public,Other Health Spending,"378,657,082",360
2011,Saskatchewan,Public,Other Health Spending,"409,815,262",384
2012,Saskatchewan,Public,Other Health Spending,"526,225,024",486
2013,Saskatchewan,Public,Other Health Spending,"584,667,576",532
2014,Saskatchewan,Public,Other Health Spending,"605,602,588",544
2015,Saskatchewan,Public,Other Health Spending,"641,873,144",573
2016,Saskatchewan,Public,Other Health Spending,"683,916,553",602
2017,Saskatchewan,Public,Other Health Spending,"702,053,268",610
2018,Saskatchewan,Public,Other Health Spending,"725,178,703",624
2019,Saskatchewan,Public,Other Health Spending,"757,634,831",648
1975,Saskatchewan,Public,Total,"328,585,144",358
1976,Saskatchewan,Public,Total,"393,872,322",423
1977,Saskatchewan,Public,Total,"443,678,119",470
1978,Saskatchewan,Public,Total,"477,782,402",502
1979,Saskatchewan,Public,Total,"544,254,853",567
1980,Saskatchewan,Public,Total,"648,491,527",670
1981,Saskatchewan,Public,Total,"763,135,991",782
1982,Saskatchewan,Public,Total,"925,858,260",938
1983,Saskatchewan,Public,Total,"1,038,530,230","1,037"
1984,Saskatchewan,Public,Total,"1,112,706,907","1,097"
1985,Saskatchewan,Public,Total,"1,195,545,978","1,166"
1986,Saskatchewan,Public,Total,"1,325,918,800","1,289"
1987,Saskatchewan,Public,Total,"1,372,233,099","1,329"
1988,Saskatchewan,Public,Total,"1,468,296,137","1,428"
1989,Saskatchewan,Public,Total,"1,629,159,478","1,598"
1990,Saskatchewan,Public,Total,"1,792,082,604","1,778"
1991,Saskatchewan,Public,Total,"1,828,909,800","1,824"
1992,Saskatchewan,Public,Total,"1,819,536,212","1,812"
1993,Saskatchewan,Public,Total,"1,727,819,275","1,716"
1994,Saskatchewan,Public,Total,"1,778,830,155","1,762"
1995,Saskatchewan,Public,Total,"1,820,781,421","1,795"
1996,Saskatchewan,Public,Total,"1,862,292,008","1,828"
1997,Saskatchewan,Public,Total,"1,976,072,563","1,941"
1998,Saskatchewan,Public,Total,"2,103,518,494","2,068"
1999,Saskatchewan,Public,Total,"2,254,953,948","2,223"
2000,Saskatchewan,Public,Total,"2,387,402,147","2,369"
2001,Saskatchewan,Public,Total,"2,595,273,799","2,595"
2002,Saskatchewan,Public,Total,"2,736,138,582","2,745"
2003,Saskatchewan,Public,Total,"2,918,673,863","2,929"
2004,Saskatchewan,Public,Total,"3,120,628,340","3,129"
2005,Saskatchewan,Public,Total,"3,387,142,340","3,409"
2006,Saskatchewan,Public,Total,"3,623,445,509","3,652"
2007,Saskatchewan,Public,Total,"3,907,957,034","3,900"
2008,Saskatchewan,Public,Total,"4,241,516,850","4,169"
2009,Saskatchewan,Public,Total,"4,492,955,670","4,342"
2010,Saskatchewan,Public,Total,"4,782,130,843","4,548"
2011,Saskatchewan,Public,Total,"5,109,184,858","4,793"
2012,Saskatchewan,Public,Total,"5,344,571,763","4,932"
2013,Saskatchewan,Public,Total,"5,643,748,383","5,132"
2014,Saskatchewan,Public,Total,"5,790,452,702","5,203"
2015,Saskatchewan,Public,Total,"6,019,570,159","5,370"
2016,Saskatchewan,Public,Total,"6,257,429,336","5,508"
2017,Saskatchewan,Public,Total,"6,370,431,342","5,536"
2018,Saskatchewan,Public,Total,"6,316,543,991","5,436"
2019,Saskatchewan,Public,Total,"6,428,616,777","5,497"
1975,Alberta,Public,Hospitals,"412,880,244",228
1976,Alberta,Public,Hospitals,"486,754,923",260
1977,Alberta,Public,Hospitals,"506,094,585",260
1978,Alberta,Public,Hospitals,"520,890,109",258
1979,Alberta,Public,Hospitals,"584,850,815",279
1980,Alberta,Public,Hospitals,"698,548,980",319
1981,Alberta,Public,Hospitals,"883,007,698",385
1982,Alberta,Public,Hospitals,"1,165,083,648",492
1983,Alberta,Public,Hospitals,"1,329,656,019",556
1984,Alberta,Public,Hospitals,"1,409,032,409",589
1985,Alberta,Public,Hospitals,"1,514,782,728",630
1986,Alberta,Public,Hospitals,"1,650,414,965",678
1987,Alberta,Public,Hospitals,"1,673,588,884",686
1988,Alberta,Public,Hospitals,"1,778,232,259",724
1989,Alberta,Public,Hospitals,"1,921,434,689",769
1990,Alberta,Public,Hospitals,"2,086,666,999",819
1991,Alberta,Public,Hospitals,"2,221,792,183",857
1992,Alberta,Public,Hospitals,"2,352,664,700",894
1993,Alberta,Public,Hospitals,"2,297,672,619",861
1994,Alberta,Public,Hospitals,"1,967,715,754",729
1995,Alberta,Public,Hospitals,"1,769,304,890",647
1996,Alberta,Public,Hospitals,"1,848,598,713",666
1997,Alberta,Public,Hospitals,"2,062,438,657",729
1998,Alberta,Public,Hospitals,"2,195,589,546",757
1999,Alberta,Public,Hospitals,"2,445,712,894",828
2000,Alberta,Public,Hospitals,"2,728,076,796",908
2001,Alberta,Public,Hospitals,"3,067,986,456","1,003"
2002,Alberta,Public,Hospitals,"3,362,933,780","1,075"
2003,Alberta,Public,Hospitals,"3,587,413,429","1,127"
2004,Alberta,Public,Hospitals,"4,029,515,921","1,244"
2005,Alberta,Public,Hospitals,"4,419,685,637","1,331"
2006,Alberta,Public,Hospitals,"4,807,231,904","1,405"
2007,Alberta,Public,Hospitals,"5,192,634,809","1,478"
2008,Alberta,Public,Hospitals,"5,719,659,950","1,591"
2009,Alberta,Public,Hospitals,"6,158,688,037","1,674"
2010,Alberta,Public,Hospitals,"6,874,420,307","1,842"
2011,Alberta,Public,Hospitals,"6,974,300,472","1,841"
2012,Alberta,Public,Hospitals,"7,348,409,637","1,897"
2013,Alberta,Public,Hospitals,"7,787,286,613","1,956"
2014,Alberta,Public,Hospitals,"8,024,801,790","1,965"
2015,Alberta,Public,Hospitals,"8,174,593,771","1,972"
2016,Alberta,Public,Hospitals,"8,370,570,392","1,995"
2017,Alberta,Public,Hospitals,"8,523,418,543","2,008"
2018,Alberta,Public,Hospitals,"8,734,667,940","2,028"
2019,Alberta,Public,Hospitals,"8,794,159,348","2,005"
1975,Alberta,Public,Other Institutions,"81,878,701",45
1976,Alberta,Public,Other Institutions,"90,945,230",49
1977,Alberta,Public,Other Institutions,"98,473,233",51
1978,Alberta,Public,Other Institutions,"117,116,132",58
1979,Alberta,Public,Other Institutions,"131,582,808",63
1980,Alberta,Public,Other Institutions,"153,768,307",70
